feature,berlin_election_2023_first_votes,berlin_election_2023_first_votes_percentage,berlin_election_2023_second_votes,berlin_election_2023_second_votes_percentage,berlin_election_2016_first_votes,berlin_election_2016_first_votes_percentage,berlin_election_2016_second_votes,berlin_election_2016_second_votes_percentage,difference_first_votes,difference_first_votes_percentage,difference_second_votes,difference_second_votes_percentage
Wahlberechtigte,2431776,x,2431776,x,2485379,x,2485379,x,-53603,x,-53603,x
ohne Wahlschein,1673223,68.8,1673223,68.8,1959913,78.9,1959913,78.9,-286690,-10.1,-286690,-10.1
mit Wahlschein,758553,31.2,758553,31.2,525481,21.1,525481,21.1,233072,10.1,233072,10.1
Wählende,1529558,62.9,1529558,62.9,1662476,66.9,1662476,66.9,-132918,-4,-132918,-4
darunter Briefwählende,680471,44.5,680471,44.5,485879,29.2,485879,29.2,194592,15.3,194592,15.3
Abgegebene Stimmen,1527976,x,1527899,x,1659087,x,1660863,x,-131111,x,-132964,x
Ungültige Stimmen,13409,0.9,11039,0.7,27968,1.7,25694,1.5,-14559,-0.8,-14655,-0.8
Gültige Stimmen,1514567,99.1,1516860,99.3,1631119,98.3,1635169,98.5,-116552,0.8,-118309,0.8
SPD,301851,19.9,279017,18.4,404350,24.8,352430,21.6,-102499,-4.9,-73413,-3.2
CDU,449990,29.7,428228,28.2,323354,19.8,287997,17.6,126636,9.9,140231,10.6
GRÜNE,290026,19.1,278964,18.4,257046,15.8,248324,15.2,32980,3.4,30640,3.2
DIE LINKE,186473,12.3,185119,12.2,251736,15.4,255701,15.6,-65263,-3.1,-70582,-3.4
AfD,136426,9,137871,9.1,230331,14.1,231492,14.2,-93905,-5.1,-93621,-5.1
FDP,58381,3.9,70416,4.6,90719,5.6,109500,6.7,-32338,-1.7,-39084,-2.1
Die PARTEI,25120,1.7,21570,1.4,19825,1.2,31924,2,5295,0.4,-10354,-0.5
Tierschutzpartei,43924,2.9,36273,2.4,x,x,30620,1.9,43924,2.9,5653,0.5
PIRATEN,1184,0.1,5145,0.3,32325,2,28332,1.7,-31141,-1.9,-23187,-1.4
Graue Panther,x,x,6275,0.4,x,x,18159,1.1,x,x,-11884,-0.7
NPD,566,0,1591,0.1,5243,0.3,9459,0.6,-4677,-0.3,-7868,-0.5
Gesundheitsforschung,x,x,3768,0.2,x,x,7854,0.5,x,x,-4086,-0.2
LKR,382,0,475,0,229,0,6658,0.4,153,0,-6183,-0.4
DKP,x,x,2517,0.2,141,0,3473,0.2,-141,0,-956,0
SGP,x,x,801,0.1,604,0,2046,0.1,-604,0,-1245,-0.1
BüSo,x,x,409,0,62,0,1286,0.1,-62,0,-877,-0.1
MENSCHLICHE WELT,x,x,163,0,378,0,839,0.1,-378,0,-676,0
B*,x,x,1137,0.1,774,0,636,0,-774,0,501,0
ÖDP,643,0,1674,0.1,111,0,295,0,532,0,1379,0.1
dieBasis,11505,0.8,8342,0.5,x,x,x,x,11505,0.8,8342,0.5
Bildet Berlin!,x,x,1790,0.1,x,x,x,x,x,x,1790,0.1
DL,22,0,x,x,68,0,x,x,-46,0,x,x
Deutsche Konservative,x,x,16,0,x,x,x,x,x,x,16,0
Die Grauen,x,x,6447,0.4,x,x,x,x,x,x,6447,0.4
Neue Demokraten,x,x,69,0,x,x,x,x,x,x,69,0
REP,15,0,44,0,x,x,x,x,15,0,44,0
du.,614,0,2993,0.2,x,x,x,x,614,0,2993,0.2
BÜNDNIS21,36,0,786,0.1,x,x,x,x,36,0,786,0.1
DIE FRAUEN,111,0,x,x,x,x,x,x,111,0,x,x
FREIE WÄHLER,5666,0.4,3923,0.3,x,x,x,x,5666,0.4,3923,0.3
Klimaliste Berlin,x,x,4103,0.3,x,x,x,x,x,x,4103,0.3
LD,30,0,x,x,x,x,x,x,30,0,x,x
MIETERPARTEI,973,0.1,3902,0.3,941,0.1,x,x,32,0,3902,0.3
Die Humanisten,x,x,2659,0.2,x,x,x,x,x,x,2659,0.2
Team Todenhöfer,x,x,6326,0.4,x,x,x,x,x,x,6326,0.4
Volt,x,x,14047,0.9,x,x,x,x,x,x,14047,0.9
Einzelbewerbende,629,0,x,x,x,x,x,x,629,0,x,x
Sonstige,x,x,x,x,12882,0.8,8144,0.5,x,x,x,x
